"font","category","purpose","impression","purpose_it","impression_it"
"Yuji Syuku","Serif","Traditional design, packaging, logos, titles with Japanese aesthetic","Calligraphic, artistic, traditional, and elegant","Design tradizionale, packaging, loghi, titoli con estetica giapponese","Calligrafico, artistico, tradizionale ed elegante"
"Yuji Boku","Serif","Logos, posters, artistic and traditional designs","Bold, artistic, traditional, and powerful","Loghi, poster, design artistici e tradizionali","Audace, artistico, tradizionale e potente"
"Yuji Mai","Serif","Titles, artistic branding, traditional aesthetic designs","Elegant, flowing, artistic, and graceful","Titoli, branding artistico, design con estetica tradizionale","Elegante, fluido, artistico e aggraziato"
"Hina Mincho","Serif","Captions, small-size text, cute traditional designs","Cute, delicate, traditional, and petite","Didascalie, testi di piccole dimensioni, design tradizionali e graziosi","Carino, delicato, tradizionale e minuto"
"Dela Gothic One","Display","Posters, headlines, logos, impactful titles","Bold, powerful, modern, and energetic","Poster, titoli, loghi, titoli d'impatto","Audace, potente, moderno ed energico"
"Kaisei Decol","Serif","Educational materials, branding, friendly headlines","Friendly, classic, approachable, and warm","Materiali didattici, branding, titoli amichevoli","Amichevole, classico, accogliente e caldo"
"Kaisei Opti","Serif","Textbooks, formal documents, body text in print","Clear, formal, neat, and academic","Libri di testo, documenti formali, testo per la stampa","Chiaro, formale, ordinato e accademico"
"Kaisei HarunoUmi","Serif","Editorial design, books, gentle branding","Gentle, harmonious, elegant, and calm","Design editoriale, libri, branding delicato","Delicato, armonioso, elegante e calmo"
"Kaisei Tokumin","Serif","Formal headlines, traditional documents, dignified branding","Sturdy, traditional, dignified, and formal","Titoli formali, documenti tradizionali, branding dignitoso","Solido, tradizionale, dignitoso e formale"
"Klee One","Handwriting","Personal notes, casual branding, greeting cards","Handwritten, warm, casual, and friendly","Appunti personali, branding informale, biglietti di auguri","Scritto a mano, caldo, informale e amichevole"
"RocknRoll One","Sans Serif","Posters, music branding, pop-culture titles","Edgy, bold, modern, and energetic","Poster, branding musicale, titoli pop","Grintoso, audace, moderno ed energico"
"Stick","Sans Serif","Minimalist branding, modern UI, fashion titles","Minimal, sleek, modern, and stylish","Branding minimalista, interfacce moderne, titoli di moda","Minimale, slanciato, moderno e di tendenza"
"Yusei Magic","Handwriting","Kids' content, casual branding, social media graphics","Playful, casual, friendly, and pop","Contenuti per bambini, branding informale, grafiche per social media","Giocoso, informale, amichevole e pop"
"New Tegomin","Serif","Textbooks, traditional formal text, academic materials","Academic, classic, plain, and formal","Libri di testo, testi formali tradizionali, materiali accademici","Accademico, classico, semplice e formale"
"Reggae One","Display","Posters, packaging, comic and pop titles","Fun, retro, bold, and playful","Poster, packaging, titoli fumettistici e pop","Divertente, retro, audace e giocoso"
"Rampart One","Display","Game titles, posters, dramatic headlines","Dramatic, bold, futuristic, and powerful","Titoli di videogiochi, poster, titoli drammatici","Drammatico, audace, futuristico e potente"
"Train One","Display","Signage-style branding, retro transit-themed designs","Retro, geometric, nostalgic, and distinctive","Branding in stile segnaletico, design a tema retro sui trasporti","Retro, geometrico, nostalgico e distintivo"
"Hachi Maru Pop","Handwriting","Kids' content, cute branding, social media graphics","Cute, playful, childlike, and pop","Contenuti per bambini, branding carino, grafiche per social media","Carino, giocoso, infantile e pop"
"Mochiy Pop One","Display","Cute branding, packaging, kids' content","Soft, cute, bouncy, and pop","Branding carino, packaging, contenuti per bambini","Morbido, carino, vivace e pop"
"Mochiy Pop P One","Display","Cute branding with tighter spacing, packaging, captions","Cute, soft, pop, and playful","Branding carino con spaziatura piu compatta, packaging, didascalie","Carino, morbido, pop e giocoso"
"DotGothic16","Sans Serif","Retro game UI, digital signage, tech branding","Retro, digital, geometric, and nostalgic","Interfacce di videogiochi retro, segnaletica digitale, branding tecnologico","Retro, digitale, geometrico e nostalgico"
"Potta One","Display","Comic titles, kids' branding, playful posters","Bold, comic, playful, and fun","Titoli fumettistici, branding per bambini, poster giocosi","Audace, fumettistico, giocoso e divertente"
